"Code","Description","Parent","Table","Version"
"C32","Private enterprises","C3","C","1.4"
"C321","Sole ownerships","C32","C","1.4"
"C322","Partnerships","C32","C","1.4"
"C323","Professional firms, consultants","C32","C","1.4"
"C324","Limited companies","C32","C","1.4"
"C325","Joint stock companies","C32","C","1.4"
"C326","Co-operative associations","C32","C","1.4"
"C327","Conglomerate companies","C32","C","1.4"
"C328","Business consortia","C32","C","1.4"
"C329","Agencies","C32","C","1.4"
"C33","Mixed enterprises and partnerships","C3","C","1.4"
"C331","Mixed enterprises","C33","C","1.4"
"C332","Public/private partnerships","C33","C","1.4"
"C34","Government and related organisations","C3","C","1.4"
"C341","Central government","C34","C","1.4"
"C342","Local government","C34","C","1.4"
"C3421","Professional departments within local government","C342","C","1.4"
"C34211","Local authority architects","C3421","C","1.4"
"C34212","Local authority engineers","C3421","C","1.4"
"C34213","Local authority surveyors","C3421","C","1.4"
"C34214","Local authority planners","C3421","C","1.4"
"C3422","Direct works organisations","C342","C","1.4"
"C35","Public enterprises","C3","C","1.4"
"C351","Nationalised firms","C35","C","1.4"
"C352","Public corporations","C35","C","1.4"
"C353","State enterprises","C35","C","1.4"
"C354","The armed forces","C35","C","1.4"
"C355","Civil service","C35","C","1.4"
"C356","Police service","C35","C","1.4"
"C359","Other","C35","C","1.4"
"C36","Non-profit-making organisations, charities","C3","C","1.4"
"C37","Industrial and commercial associations","C3","C","1.4"
"C371","Trade associations","C37","C","1.4"
"C372","Research organisations","C37","C","1.4"
"C373","Employers associations","C37","C","1.4"
"C374","Professional associations","C37","C","1.4"
"C375","Special interest groups","C37","C","1.4"
"C376","Trade unions","C37","C","1.4"
"C38","Construction industry","C3","C","1.4"
"C381","General","C38","C","1.4"
"C3811","General (non-discipline-related)","C381","C","1.4"
"C382","Clients, managers","C38","C","1.4"
"C3821","Clients","C382","C","1.4"
"C3822","Project managers","C382","C","1.4"
"C3823","Facilities managers","C382","C","1.4"
"C383","Architectural/general designers/consultants","C38","C","1.4"
"C3831","Architects","C383","C","1.4"
"C3832","Interior designers","C383","C","1.4"
"C3833","Landscape architects","C383","C","1.4"
"C3834","Building surveyors","C383","C","1.4"
"C3839","Other","C383","C","1.4"
"C384","Civil/structural engineering designers/consultants","C38","C","1.4"
"C3841","Structural engineers","C384","C","1.4"
"C3842","Road engineers","C384","C","1.4"
"C3843","Maritime engineers","C384","C","1.4"
"C3844","Water engineers","C384","C","1.4"
"C3849","Other","C384","C","1.4"
"C385","Services engineering designers/consultants","C38","C","1.4"
"C3851","Electrical engineers","C385","C","1.4"
"C3852","Telecommunications engineers","C385","C","1.4"
"C3853","Mechanical engineers","C385","C","1.4"
"C38531","Heating and ventilation engineers","C3853","C","1.4"
"C3854","Public health engineers","C385","C","1.4"
"C3855","Acoustic engineers","C385","C","1.4"
"C3856","Lighting engineers","C385","C","1.4"
"C3859","Other","C385","C","1.4"
"C386","Other technical consultants","C38","C","1.4"
"C3861","Town and country planners","C386","C","1.4"
"C3862","Building control officers","C386","C","1.4"
"C3863","Geographic information system (GIS) engineers and land surveyors","C386","C","1.4"
"C3864","Quantity surveyors, cost engineers","C386","C","1.4"
"C3865","Health/safety/environmental consultants","C386","C","1.4"
"C3866","Transportation planners","C386","C","1.4"
"C3867","Design audit consultants","C386","C","1.4"
"C3869","Other","C386","C","1.4"
"C387","Legal/financial/management consultants","C38","C","1.4"
"C3871","Legal consultants","C387","C","1.4"
"C3872","Financial/leasing consultants","C387","C","1.4"
"C3873","Insurance consultants","C387","C","1.4"
"C3874","Management consultants","C387","C","1.4"
"C3879","Other","C387","C","1.4"
"C388","Contractors","C38","C","1.4"
"C3881","Contractors","C388","C","1.4"
"C3882","Sub-contractors","C388","C","1.4"
"C389","Manufacturers, suppliers, other","C38","C","1.4"
"C3891","Manufacturers","C389","C","1.4"
"C3892","Distributors/suppliers","C389","C","1.4"
"C3893","Importers","C389","C","1.4"
"C3899","Other","C389","C","1.4"
"C39","Other types of organisation","C3","C","1.4"
"C391","Industries other than construction","C39","C","1.4"
"C392","Temporary organisations","C39","C","1.4"
"C393","Miscellaneous organisations","C39","C","1.4"
"C394","Small businesses","C39","C","1.4"
"C395","Large businesses","C39","C","1.4"
"C4","Specialist areas of management","C","C","1.4"
"C41","Management of office services","C4","C","1.4"
"C411","Switchboard services","C41","C","1.4"
"C412","Reception services","C41","C","1.4"
"C413","Commissionaire, security services","C41","C","1.4"
"C414","Secretarial services","C41","C","1.4"
"C415","Mail management","C41","C","1.4"
"C416","Reprography","C41","C","1.4"
"C4161","Photocopying, duplicating","C416","C","1.4"
"C4162","Printing","C416","C","1.4"
"C417","Records management","C41","C","1.4"
"C4171","Control of office documents, collating, filing","C417","C","1.4"
"C4172","Stationery, forms","C417","C","1.4"
"C4173","Office library management and operations","C417","C","1.4"
"C419","Other","C41","C","1.4"
"C42","Marketing, selling","C4","C","1.4"
"C421","General marketing activities","C42","C","1.4"
"C4211","Marketing research, survey techniques","C421","C","1.4"
"C4212","Audit/assessment","C421","C","1.4"
"C4213","Forecasting","C421","C","1.4"
"C4214","Strategy establishment","C421","C","1.4"
"C4215","Policy making/operation","C421","C","1.4"
"C422","Marketing concepts and systems","C42","C","1.4"
"C4221","The marketing mix","C422","C","1.4"
"C4222","Marketing models","C422","C","1.4"
"C4223","Marketing information systems","C422","C","1.4"
"C4224","Marketing ethics","C422","C","1.4"
"C423","Promotion","C42","C","1.4"
"C4231","Advertising","C423","C","1.4"
"C4232","Publicity","C423","C","1.4"
"C4233","Public relations","C423","C","1.4"
"C4234","Exhibitions of work","C423","C","1.4"
"C4235","Media planning","C423","C","1.4"
"C4236","Press releases","C423","C","1.4"
"C4237","Promotional publications","C423","C","1.4"
"C4238","Presentations","C423","C","1.4"
"C4239","Workshops, seminars, conferences","C423","C","1.4"
"C424","Sales management, selling","C42","C","1.4"
"C4241","Target setting","C424","C","1.4"
"C4242","Sales reporting systems","C424","C","1.4"
"C425","Social marketing","C42","C","1.4"
"C426","International marketing","C42","C","1.4"
"C4261","Export marketing","C426","C","1.4"
"C4262","Franchising","C426","C","1.4"
"C427","Marketing by type of product","C42","C","1.4"
"C43","Research and development","C4","C","1.4"
"C431","Research","C43","C","1.4"
"C432","Testing","C43","C","1.4"
"C433","Development","C43","C","1.4"
"C434","Results of research","C43","C","1.4"
"C4341","Inventions","C434","C","1.4"
"C4342","Publication of research results","C434","C","1.4"
"C44","Finance and accounting, business economics","C4","C","1.4"
"C441","Financial world","C44","C","1.4"
"C4411","Financial markets","C441","C","1.4"
"C4412","Financial institutions","C441","C","1.4"
"C44121","Banks and banking","C4412","C","1.4"
"C44122","Finance corporations","C4412","C","1.4"
"C44123","Trusts","C4412","C","1.4"
"C442","Financial management","C44","C","1.4"
"C4421","Asset management","C442","C","1.4"
"C44211","Capital raising methods","C4421","C","1.4"
"C44212","Leasing","C4421","C","1.4"
"C44213","Debt financing","C4421","C","1.4"
"C44214","Trading capital","C4421","C","1.4"
"C44215","Credit management","C4421","C","1.4"
"C44216","Licensing","C4421","C","1.4"
"C44217","Investment project appraisal","C4421","C","1.4"
"C442171","Overseas investment","C44217","C","1.4"
"C44218","Liquid assets","C4421","C","1.4"
"C44219","Financial risk analysis, others","C4421","C","1.4"
"C4422","Portfolio investment","C442","C","1.4"
"C4423","Business formation and liquidation","C442","C","1.4"
"C44231","Setting up","C4423","C","1.4"
"C44232","Mergers","C4423","C","1.4"
"C44233","Flotations","C4423","C","1.4"
"C44234","Partnering","C4423","C","1.4"
"C44235","Asset swapping","C4423","C","1.4"
"C44236","Divestment","C4423","C","1.4"
"C44237","Liquidations","C4423","C","1.4"
"C44238","Insolvencies","C4423","C","1.4"
"C4424","Land and property finance/development","C442","C","1.4"
"C44241","Land and real estate","C4424","C","1.4"
"C44242","Property finance","C4424","C","1.4"
"C4425","Personal financial management","C442","C","1.4"
"C443","Accounting and auditing","C44","C","1.4"
"C4431","Accounting procedures","C443","C","1.4"
"C44311","Goodwill accounting","C4431","C","1.4"
"C44312","Inflation accounting","C4431","C","1.4"
"C44313","Accounting valuations","C4431","C","1.4"
"C44314","Book-keeping systems","C4431","C","1.4"
"C4432","Management accounting","C443","C","1.4"
"C44321","Budgets","C4432","C","1.4"
"C44322","Budgetary control","C4432","C","1.4"
"C44323","Cost accounting","C4432","C","1.4"
"C44324","Costs","C4432","C","1.4"
"C443241","Fixed costs","C44324","C","1.4"
"C443242","Variable costs","C44324","C","1.4"
"C443243","Historical costs","C44324","C","1.4"
"C443244","Job costing, timesheets","C44324","C","1.4"
"C4433","Accounting for external appraisal","C443","C","1.4"
"C4434","Auditing","C443","C","1.4"
"C444","Business economics","C44","C","1.4"
"C4441","History and theories of economics","C444","C","1.4"
"C4442","Microeconomics","C444","C","1.4"
"C44421","Income","C4442","C","1.4"
"C44422","Interest rates","C4442","C","1.4"
"C44423","Profitability","C4442","C","1.4"
"C44424","Productivity","C4442","C","1.4"
"C4443","Macroeconomics","C444","C","1.4"
"C44431","Investment and growth","C4443","C","1.4"
"C444311","Economic aspects of the environment","C44431","C","1.4"
"C44432","Economic cycles","C4443","C","1.4"
"C444321","Recession","C44432","C","1.4"
"C444322","Boom","C44432","C","1.4"
"C444323","Steady growth","C44432","C","1.4"
"C444324","Flat","C44432","C","1.4"
"C44433","Inflation and deflation","C4443","C","1.4"
"C444331","Inflation","C44433","C","1.4"
"C444332","Deflation","C44433","C","1.4"
"C44434","Monetary economics","C4443","C","1.4"
"C444341","Foreign exchange","C44434","C","1.4"
"C444342","Exchange rates","C44434","C","1.4"
"C444343","World banks","C44434","C","1.4"
"C444344","International Monetary Fund","C44434","C","1.4"
"C44435","Government economics","C4443","C","1.4"
"C444351","Public finance, monetary policies","C44435","C","1.4"
"C444352","National budget","C44435","C","1.4"
"C444353","Government expenditure","C44435","C","1.4"
"C444354","Government fund-raising, taxation","C44435","C","1.4"
"C44436","Local government economics","C4443","C","1.4"
"C444361","Rates, council taxes","C44436","C","1.4"
"C4444","Funding","C444","C","1.4"
"C44441","Government funding","C4444","C","1.4"
"C444411","European Union","C44441","C","1.4"
"C444412","National government","C44441","C","1.4"
"C444413","Joint government/private sector funding","C44441","C","1.4"
"C444414","National Lottery funding","C44441","C","1.4"
"C444415","Local government grants, subsidies","C44441","C","1.4"
"C44442","Private sector funding","C4444","C","1.4"
"C45","Personnel management and industrial relations","C4","C","1.4"
"C451","Personnel management theory and systems","C45","C","1.4"
"C4511","Personnel administration","C451","C","1.4"
"C4512","Industrial psychology","C451","C","1.4"
"C4513","Personnel policy","C451","C","1.4"
"C4514","Personnel planning","C451","C","1.4"
"C4515","Human resources development","C451","C","1.4"
"C4516","Personnel records and systems","C451","C","1.4"
"C452","Recruitment and selection","C45","C","1.4"
"C4521","Job descriptions, requirements and enrichments","C452","C","1.4"
"C4522","Educational qualifications, experience, skills","C452","C","1.4"
"C4523","Applications, references","C452","C","1.4"
"C4524","Interviews, tests","C452","C","1.4"
"C4525","Selection, selection boards","C452","C","1.4"
"C4526","Induction","C452","C","1.4"
"C4527","Probationary period","C452","C","1.4"
"C4528","Placement","C452","C","1.4"
"C4529","Equal opportunities, discrimination","C452","C","1.4"
"C453","Training","C45","C","1.4"
"C4531","External training","C453","C","1.4"
"C4532","Internal training","C453","C","1.4"
"C4533","Continuing professional development","C453","C","1.4"
"C4534","Retraining","C453","C","1.4"
"C454","Employee communication","C45","C","1.4"
"C4541","Handbooks","C454","C","1.4"
"C4542","Procedure manuals","C454","C","1.4"
"C4543","House journals","C454","C","1.4"
"C4544","Suggestion schemes","C454","C","1.4"
"C4545","Consultation","C454","C","1.4"
"C455","Industrial relations","C45","C","1.4"
"C4551","Labour relations","C455","C","1.4"
"C4552","Industrial democracy","C455","C","1.4"
"C4553","Conciliation, arbitration","C455","C","1.4"
"C4554","Co-partnerships","C455","C","1.4"
"C4555","Worker control","C455","C","1.4"
"C456","Conditions of employment","C45","C","1.4"
"C4561","Hours of work","C456","C","1.4"
"C4562","Breaks","C456","C","1.4"
"C4563","Leave, absence","C456","C","1.4"
"C4564","Conduct, disciplinary action","C456","C","1.4"
"C4565","Dispute resolution","C456","C","1.4"
"C4566","Termination of employment","C456","C","1.4"
"C457","Remuneration","C45","C","1.4"
"C4571","Salaries, wages","C457","C","1.4"
"C4572","Compensation","C457","C","1.4"
"C4573","Systems of payment","C457","C","1.4"
"C4574","Incentives","C457","C","1.4"
"C4575","Bonuses","C457","C","1.4"
"C4577","Allowances","C457","C","1.4"
"C4578","Deductions","C457","C","1.4"
"C458","Working conditions, nature of work","C45","C","1.4"
"C4581","Dangerous work","C458","C","1.4"
"C4582","Monotonous work","C458","C","1.4"
"C459","Other personnel management issues","C45","C","1.4"
"C4591","Fringe benefits","C459","C","1.4"
"C45911","Pensions","C4591","C","1.4"
"C45912","Insurance","C4591","C","1.4"
"C45913","Maternity benefits","C4591","C","1.4"
"C45914","Sick pay","C4591","C","1.4"
"C45915","Grants, loans, discount schemes to employees","C4591","C","1.4"
"C4592","Social benefits","C459","C","1.4"
"C45921","Subsidised meals","C4592","C","1.4"
"C45922","Vouchers","C4592","C","1.4"
"C45923","Employees housing","C4592","C","1.4"
"C4593","Status of personnel, promotion","C459","C","1.4"
"C4594","Resource management","C459","C","1.4"
"C4595","Supervision","C459","C","1.4"
"C4596","Employee appraisal","C459","C","1.4"
"C4597","Job evaluation","C459","C","1.4"
"C46","Management of computing, information technology","C4","C","1.4"
"C461","Computer management strategy","C46","C","1.4"
"C5","Management of construction activities/project management","C","C","1.4"
"C50","General techniques/information","C5","C","1.4"
"C501","Programming","C50","C","1.4"
"C502","Critical path analysis","C50","C","1.4"
"C503","Monitoring techniques","C50","C","1.4"
"C504","Methods of communication","C50","C","1.4"
"C505","Risk analysis and management","C50","C","1.4"
"C506","Health and safety plan","C50","C","1.4"
"C507","Quality plans","C50","C","1.4"
"C508","Plans of work","C50","C","1.4"
"C509","Job manuals","C50","C","1.4"
"C6","Management of construction activities/project management","C","C","1.4"
"C61","Inception/procurement","C6","C","1.4"
"C611","Client/contractor relationship","C61","C","1.4"
"C6111","Conventional lump sum contracting","C611","C","1.4"
"C6112","Design and build","C611","C","1.4"
"C6113","Management contracting","C611","C","1.4"
"C6114","Construction management","C611","C","1.4"
"C612","Briefing by client","C61","C","1.4"
"C613","Competition entries, competitions","C61","C","1.4"
"C614","Proposals","C61","C","1.4"
"C615","Appointment of lead and other consultants","C61","C","1.4"
"C6151","Compulsory competitive tendering","C615","C","1.4"
"C62","Feasibility","C6","C","1.4"
"C621","Appraisals","C62","C","1.4"
"C622","Surveys and structural implications of site","C62","C","1.4"
"C623","Energy strategies","C62","C","1.4"
"C624","Community and tenant liaison","C62","C","1.4"
"C63","Outline proposals/programme preparation","C6","C","1.4"
"C631","Outline proposals","C63","C","1.4"
"C6311","Report and sketch plans","C631","C","1.4"
"C6312","Cost models and indicative costs","C631","C","1.4"
"C6313","Energy targets","C631","C","1.4"
"C632","Programme preparation","C63","C","1.4"
"C6321","Development control plan","C632","C","1.4"
"C6322","Management control plan","C632","C","1.4"
"C64","Scheme design/costing","C6","C","1.4"
"C641","Completion of brief","C64","C","1.4"
"C6411","Coordination of design development","C641","C","1.4"
"C642","Full design of project","C64","C","1.4"
"C643","Preliminary design","C64","C","1.4"
"C644","Costing of design","C64","C","1.4"
"C645","Submission of proposals for all approvals","C64","C","1.4"
"C65","Detail design/costing","C6","C","1.4"
"C651","Full design of every part and component","C65","C","1.4"
"C652","Working drawings including CAD","C65","C","1.4"
"C653","Completion of cost checking of designs, final cost plan","C65","C","1.4"
"C66","Production information","C6","C","1.4"
"C661","Production drawings","C66","C","1.4"
"C662","Production schedules","C66","C","1.4"
"C663","Production specifications","C66","C","1.4"
"C67","Bills of quantities","C6","C","1.4"
"C671","Bills of quantities","C67","C","1.4"
"C672","Tender documents","C67","C","1.4"
"C68","Tender action","C6","C","1.4"
"C681","Drawing up list of tenderers","C68","C","1.4"
"C682","Preliminary enquiries for invitation to tender","C68","C","1.4"
"C683","Drawing up of shortlist and notification to tenderers","C68","C","1.4"
"C684","Dispatch of tender documents","C68","C","1.4"
"C685","Assessment of tenders and notification to tenderers","C68","C","1.4"
"C686","Examination of priced bills","C68","C","1.4"
"C687","Negotiated reduction of tenders","C68","C","1.4"
"C688","Contractor appointed.","C68","C","1.4"
"C7","Management of construction activities/project management","C","C","1.4"
"C71","Construction preparation/project planning","C7","C","1.4"
"C711","Contract documents","C71","C","1.4"
"C7111","Compilation","C711","C","1.4"
"C7112","Novation","C711","C","1.4"
"C7113","Checking","C711","C","1.4"
"C7114","Signature","C711","C","1.4"
"C712","Insurance","C71","C","1.4"
"C713","Site programme","C71","C","1.4"
"C7131","Agreement of critical dates","C713","C","1.4"
"C7132","Agree methods of progressing","C713","C","1.4"
"C714","Project meetings","C71","C","1.4"
"C7141","Arrangements for issuing instructions","C714","C","1.4"
"C7142","Location, frequency and other arrangements for site meetings","C714","C","1.4"
"C715","Contractors pre-contract planning","C71","C","1.4"
"C7151","Programming","C715","C","1.4"
"C7152","Site layout","C715","C","1.4"
"C7153","Liaison with engineers","C715","C","1.4"
"C716","Tenant decanting","C71","C","1.4"
"C72","Construction operations on site","C7","C","1.4"
"C721","Quality control","C72","C","1.4"
"C7211","Quality control and management","C721","C","1.4"
"C7212","Site inspection by consultants","C721","C","1.4"
"C7213","Site inspection by clerk of works","C721","C","1.4"
"C7214","Commissioning and testing","C721","C","1.4"
"C722","Time control","C72","C","1.4"
"C7221","Maintenance of programme","C722","C","1.4"
"C7222","Claims for extension of time","C722","C","1.4"
"C723","Cost control","C72","C","1.4"
"C7231","Procedures for cost control","C723","C","1.4"
"C724","Recording","C72","C","1.4"
"C7241","Site meetings","C724","C","1.4"
"C7242","Daywork records","C724","C","1.4"
"C7243","Progress photographs","C724","C","1.4"
"C7244","Weather records","C724","C","1.4"
"C73","Completion","C7","C","1.4"
"C731","Detailed pre-completion inspection by consultants, contractor and sub-contractors","C73","C","1.4"
"C732","Hand-over to client","C73","C","1.4"
"C733","Health and safety file/operation and maintenance manual/tenants handbook","C73","C","1.4"
"C734","Miscellaneous hand-over/practical completion issues","C73","C","1.4"
"C7341","Training of operating and maintenance staff","C734","C","1.4"
"C7342","Tenant communications","C734","C","1.4"
"C735","Certificate of practical completion","C73","C","1.4"
"C736","Defects","C73","C","1.4"
"C737","Final inspection","C73","C","1.4"
"C738","Certificate of making good defects","C73","C","1.4"
"C739","Final accounts/final certificate","C73","C","1.4"
"C8","Management of construction activities/project management","C","C","1.4"
"C81","Occupation/facilities management","C8","C","1.4"
"C811","Property/premises strategy, planning and management","C81","C","1.4"
"C8111","Performance analysis","C811","C","1.4"
"C8112","Property and asset registers","C811","C","1.4"
"C812","Space management","C81","C","1.4"
"C8121","Space planning","C812","C","1.4"
"C8122","Space design","C812","C","1.4"
"C8123","Space standards","C812","C","1.4"
"C8124","Accommodation, layouts","C812","C","1.4"
"C8125","Mobile desking","C812","C","1.4"
"C8126","Home working/teleworking","C812","C","1.4"
"C813","Contract office services, outsourcing of office services","C81","C","1.4"
"C814","Premises services","C81","C","1.4"
"C8141","Catering","C814","C","1.4"
"C8142","Recreation","C814","C","1.4"
"C8143","Nurseries","C814","C","1.4"
"C8144","Cr�ches","C814","C","1.4"
"C8145","Transport facilities","C814","C","1.4"
"C8146","Communication services","C814","C","1.4"
"C815","Maintenance and operation","C81","C","1.4"
"C8151","Maintenance of external fabric of buildings or other structures","C815","C","1.4"
"C8152","Maintenance of internal fabric of buildings, decorating","C815","C","1.4"
"C8153","Cleaning of interior of buildings","C815","C","1.4"
"C8154","Operation and maintenance of building services","C815","C","1.4"
"C8156","Energy management","C815","C","1.4"
"C8157","Environmental strategies","C815","C","1.4"
"C8158","Life cycle costing","C815","C","1.4"
"C8159","Health and safety at work","C815","C","1.4"
"C816","Emergency procedures","C81","C","1.4"
"C8161","Policies","C816","C","1.4"
"C8162","Disaster recovery strategies","C816","C","1.4"
"C8163","Fire strategies","C816","C","1.4"
"C8164","Security strategies","C816","C","1.4"
"C817","Relocation management","C81","C","1.4"
"C83","Feedback","C8","C","1.4"
"C831","Analysis of job records","C83","C","1.4"
"C832","Inspection of building","C83","C","1.4"
"C833","Studies of building in use","C83","C","1.4"
"C84","Refurbishment and recommissioning","C8","C","1.4"
"C9","Management of construction activities/project management","C","C","1.4"
"C91","Decommissioning","C9","C","1.4"
"C92","Demolition etc.","C9","C","1.4"
"C921","Dismantling","C92","C","1.4"
"C922","Demolition","C92","C","1.4"
"C923","Disposal","C92","C","1.4"
"C93","Redevelopment","C9","C","1.4"
"D","Facilities","uniclass","D","1.4"
